symbol,lastPrice,volume,openPrice,highPrice,lowPrice
ETHBTC,0.05625000,49822.68080000,0.05778000,0.05784000,0.05423000
LTCBTC,0.00226700,54107.67200000,0.00228800,0.00229800,0.00220000
BNBBTC,0.00757000,38178.45800000,0.00777600,0.00780500,0.00726800
NEOBTC,0.00024970,22413.78000000,0.00025550,0.00026080,0.00024340
QTUMETH,0.00139400,1681.00000000,0.00139100,0.00140600,0.00138400
EOSETH,0.00035040,48571.90000000,0.00034950,0.00035610,0.00034820
SNTETH,0.00001606,3408962.00000000,0.00001584,0.00001711,0.00001537
BNTETH,0.00035900,109087.30000000,0.00035170,0.00037880,0.00034560
BCCBTC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
GASBTC,0.00008280,39164.70000000,0.00008490,0.00008540,0.00007850
BNBETH,0.13450000,12679.28900000,0.13460000,0.13520000,0.13240000
BTCUSDT,28088.00000000,70334.63374000,26901.33000000,30000.00000000,26893.41000000
ETHUSDT,1580.03000000,372370.07620000,1554.28000000,1639.43000000,1550.35000000
HSRBTC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
OAXETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
DNTETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
MCOETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
ICNETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
MCOBTC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
WTCBTC,0.00000527,363292.00000000,0.00000562,0.00000605,0.00000510
WTCETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
LRCBTC,0.00000605,542485.00000000,0.00000623,0.00000630,0.00000587
LRCETH,0.00010817,181463.00000000,0.00010796,0.00010983,0.00010757
QTUMBTC,0.00007800,12642.80000000,0.00008010,0.00008080,0.00007590
YOYOBTC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
OMGBTC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
OMGETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
ZRXBTC,0.00000837,1573329.00000000,0.00000811,0.00000927,0.00000768
ZRXETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
STRATBTC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
STRATETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
SNGLSBTC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
SNGLSETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
BQXBTC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
BQXETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
KNCBTC,0.00002336,176354.70000000,0.00002385,0.00002507,0.00002265
KNCETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
FUNBTC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
FUNETH,0.00000263,1270661.00000000,0.00000272,0.00000273,0.00000262
SNMBTC,0.00000057,26662465.00000000,0.00000126,0.00000147,0.00000055
SNMETH,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
